time,step-size,{bodyFMU}.body.robot_theta,{bodyFMU}.body.robot_x,{bodyFMU}.body.robot_y,{bodyFMU}.body.robot_z,{bodyFMU}.body.total_energy_used,{bodyFMU}.body.wheel_left_rotation,{bodyFMU}.body.wheel_right_rotation,{controllerFMU}.controller.servoLeftVal,{controllerFMU}.controller.servoRightVal,{sensorFMU}.sensor1.lf_1_sensor_reading,{sensorFMU}.sensor1.offset_x,{sensorFMU}.sensor1.offset_y,{sensorFMU}.sensor2.lf_1_sensor_reading,{sensorFMU}.sensor2.offset_x,{sensorFMU}.sensor2.offset_y
0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.054,0.169,0.0,-0.054,0.169
0.05,0.05,0.0,0.138,-0.08,0.0,0.40000000000009095,0.0,0.0,0.5,-0.5,251.00000000000006,0.054,0.169,251.00000000000006,-0.054,0.169
0.1,0.05,0.0,0.138,-0.0785621839899874,0.0,0.9783355409931573,0.043242586767296004,-0.043242586767296004,0.5,-0.5,254.00000000000006,0.054,0.169,254.00000000000006,-0.054,0.169
0.2,0.1,0.0,0.138,-0.07313279335529456,0.0,2.8616998949578374,0.20653253066783275,-0.20653253066783275,0.5,-0.5,255.00000000000006,0.054,0.169,254.00000000000006,-0.054,0.169
0.3,0.09999999999999998,0.0,0.138,-0.06690839598506362,0.0,5.062754414330357,0.39373245157703374,-0.39373245157703374,0.5,-0.5,254.00000000000006,0.054,0.169,255.00000000000006,-0.054,0.169
0.4,0.10000000000000003,0.0,0.138,-0.06056281516774991,0.0,7.317072716476559,0.5845769874360928,-0.5845769874360928,0.5,-0.5,255.00000000000006,0.054,0.169,255.00000000000006,-0.054,0.169
0.5,0.09999999999999998,0.0,0.138,-0.05419876227065322,0.0,9.579622467769696,0.7759770745668203,-0.7759770745668203,0.5,-0.5,254.00000000000006,0.054,0.169,254.00000000000006,-0.054,0.169
0.6,0.09999999999999998,0.0,0.138,-0.04783189366118226,0.0,11.843429556681713,0.967461844776474,-0.967461844776474,0.5,-0.5,254.00000000000006,0.054,0.169,254.00000000000006,-0.054,0.169
0.7,0.09999999999999998,0.0,0.138,-0.04146459585065394,0.0,14.107428363157396,1.1589595232886045,-1.1589595232886045,0.5,-0.5,254.00000000000006,0.054,0.169,254.00000000000006,-0.054,0.169
0.8,0.10000000000000009,0.0,0.138,-0.03509723261670048,0.0,16.371456394689176,1.3504591694225438,-1.3504591694225438,0.5,-0.5,254.00000000000006,0.054,0.169,255.00000000000006,-0.054,0.169
0.9,0.09999999999999998,0.0,0.138,-0.028729859410207413,0.0,18.63548888104924,1.541959115482486,-1.541959115482486,0.5,-0.5,254.00000000000006,0.054,0.169,254.00000000000006,-0.054,0.169
1.0,0.09999999999999998,0.0,0.138,-0.022362484683592976,0.0,20.89952204646397,1.7334591072603636,-1.7334591072603636,0.5,-0.5,254.00000000000006,0.054,0.169,255.00000000000006,-0.054,0.169
1.1,0.10000000000000009,0.0,0.138,-0.015995109725264578,0.0,23.16355531538602,1.92495910600708,-1.92495910600708,0.5,-0.5,254.00000000000006,0.054,0.169,254.00000000000006,-0.054,0.169
1.2,0.09999999999999987,0.0,0.138,-0.009627734731616072,0.0,25.427588600087347,2.116459105816057,-2.116459105816057,0.5,-0.5,254.00000000000006,0.054,0.169,254.00000000000006,-0.054,0.169
1.3,0.10000000000000009,0.0,0.138,-0.003260359732583623,0.0,27.69162188719247,2.307959105786959,-2.307959105786959,0.5,-0.5,254.00000000000006,0.054,0.169,254.00000000000006,-0.054,0.169
1.4,0.09999999999999987,0.0,0.138,0.0031070152672694473,0.0,29.955655174665026,2.499459105782542,-2.499459105782542,0.5,-0.5,254.00000000000006,0.054,0.169,254.00000000000006,-0.054,0.169
1.5,0.10000000000000009,0.0,0.138,0.009474390267247682,0.0,32.21968846219352,2.690959105781887,-2.690959105781887,0.5,-0.5,254.00000000000006,0.054,0.169,254.00000000000006,-0.054,0.169
1.6,0.10000000000000009,0.0,0.138,0.015841765267244942,0.0,34.48372174972974,2.8824591057818036,-2.8824591057818036,0.5,-0.5,254.00000000000006,0.054,0.169,255.00000000000006,-0.054,0.169
1.7,0.09999999999999987,0.0,0.138,0.022209140267244923,0.0,36.747755037268234,3.073959105781812,-3.073959105781812,0.5,-0.5,254.00000000000006,0.054,0.169,254.00000000000006,-0.054,0.169
1.8,0.10000000000000009,0.0,0.138,0.028576515267244917,0.0,39.01178832480673,3.2654591057818223,-3.2654591057818223,0.5,-0.5,254.00000000000006,0.054,0.169,254.00000000000006,-0.054,0.169
1.9,0.09999999999999987,0.0,0.138,0.03494389026724491,0.0,41.275821612344316,3.456959105781832,-3.456959105781832,0.5,-0.5,254.00000000000006,0.054,0.169,254.00000000000006,-0.054,0.169
2.0,0.10000000000000009,0.0,0.138,0.04131126526724491,0.0,43.53985489988327,3.6484591057818423,-3.6484591057818423,0.5,-0.5,255.00000000000006,0.054,0.169,254.00000000000006,-0.054,0.169
2.1,0.10000000000000009,0.0,0.138,0.0476786402672449,0.0,45.80388818742085,3.8399591057818525,-3.8399591057818525,0.5,-0.5,254.00000000000006,0.054,0.169,254.00000000000006,-0.054,0.169
2.2,0.10000000000000009,0.0,0.138,0.05404601526724488,0.0,48.0679214749598,4.03145910578187,-4.03145910578187,0.5,-0.5,254.00000000000006,0.054,0.169,255.00000000000006,-0.054,0.169
2.3,0.09999999999999964,0.0,0.138,0.060413390267244835,0.0,50.331954762497844,4.222959105781924,-4.222959105781924,0.5,-0.5,255.00000000000006,0.054,0.169,254.00000000000006,-0.054,0.169
2.4,0.10000000000000009,0.0,0.138,0.06678076526724482,0.0,52.595988050035885,4.414459105781979,-4.414459105781979,0.5,-0.5,254.00000000000006,0.054,0.169,254.00000000000006,-0.054,0.169
2.5,0.10000000000000009,0.0,0.138,0.0731481402672448,0.0,54.860021337574835,4.605959105782033,-4.605959105782033,0.5,-0.5,254.00000000000006,0.054,0.169,255.00000000000006,-0.054,0.169
2.6,0.10000000000000009,0.0,0.138,0.07951551526724478,0.0,57.124054625112876,4.797459105782088,-4.797459105782088,0.5,-0.5,254.00000000000006,0.054,0.169,254.00000000000006,-0.054,0.169
2.7,0.10000000000000009,0.0,0.138,0.08588289026724476,0.0,59.38808791265183,4.9889591057821425,-4.9889591057821425,0.5,-0.5,254.00000000000006,0.054,0.169,254.00000000000006,-0.054,0.169
2.8,0.09999999999999964,0.0,0.138,0.09225026526724471,0.0,61.65212120019032,5.180459105782196,-5.180459105782196,0.5,-0.5,255.00000000000006,0.054,0.169,255.00000000000006,-0.054,0.169
2.9,0.10000000000000009,0.0,0.138,0.09861764026724469,0.0,63.91615448772836,5.371959105782251,-5.371959105782251,0.5,-0.5,254.00000000000006,0.054,0.169,254.00000000000006,-0.054,0.169
3.0,0.10000000000000009,0.0,0.138,0.10498501526724467,0.0,66.18018777526686,5.5634591057823055,-5.5634591057823055,0.5,-0.5,254.00000000000006,0.054,0.169,254.00000000000006,-0.054,0.169
3.1,0.10000000000000009,0.0,0.138,0.11135239026724465,0.0,68.4442210628049,5.75495910578236,-5.75495910578236,0.5,-0.5,254.00000000000006,0.054,0.169,255.00000000000006,-0.054,0.169
3.2,0.10000000000000009,0.0,0.138,0.11771976526724463,0.0,70.70825435034385,5.946459105782415,-5.946459105782415,0.5,-0.5,254.00000000000006,0.054,0.169,255.00000000000006,-0.054,0.169
3.3,0.09999999999999964,0.0,0.138,0.12408714026724459,0.0,72.97228763788235,6.1379591057824685,-6.1379591057824685,0.5,-0.5,254.00000000000006,0.054,0.169,254.00000000000006,-0.054,0.169
3.4,0.10000000000000009,0.0,0.138,0.13045451526724455,0.0,75.23632092542039,6.329459105782523,-6.329459105782523,0.5,-0.5,254.00000000000006,0.054,0.169,254.00000000000006,-0.054,0.169
3.5,0.10000000000000009,0.0,0.138,0.13682189026724456,0.0,77.50035421295934,6.520959105782578,-6.520959105782578,0.5,-0.5,254.00000000000006,0.054,0.169,254.00000000000006,-0.054,0.169
3.6,0.10000000000000009,0.0,0.138,0.14318926526724451,0.0,79.76438750049738,6.712459105782632,-6.712459105782632,0.5,-0.5,254.00000000000006,0.054,0.169,254.00000000000006,-0.054,0.169
3.7,0.10000000000000009,0.0,0.138,0.14955664026724452,0.0,82.02842078803633,6.903959105782687,-6.903959105782687,0.5,-0.5,255.00000000000006,0.054,0.169,1.0000000000000002,-0.054,0.169
3.8,0.09999999999999964,0.0,0.138,0.15592401526724448,0.0,84.29245407557482,7.095459105782741,-7.095459105782741,0.0,-0.5,255.00000000000006,0.054,0.169,1.0000000000000002,-0.054,0.169
3.9,0.10000000000000009,0.047380359752098165,0.13675823652060332,0.160289393668747,0.0,85.83617313536661,7.152091952092195,-7.3031391140086575,0.0,-0.5,255.00000000000006,0.054,0.169,11.000000000000002,-0.054,0.169
4.0,0.10000000000000009,0.10701941546335877,0.13503490817255132,0.16353255001769185,0.0,87.11013737514759,7.158288697258078,-7.499463375126224,0.0,-0.5,254.00000000000006,0.054,0.169,1.0000000000000002,-0.054,0.169
4.1,0.09999999999999964,0.16707413491430362,0.13312983856113914,0.16651134909951554,0.0,88.34881775986969,7.159152441034372,-7.691779758355151,0.0,-0.5,254.00000000000006,0.054,0.169,1.0000000000000002,-0.054,0.169
4.2,0.10000000000000053,0.2271432256637955,0.13105345670300275,0.16934709605808362,0.0,89.58220675602342,7.159281268429569,-7.883407040470527,0.0,-0.5,254.00000000000006,0.054,0.169,255.00000000000006,-0.054,0.169
4.3,0.09999999999999964,0.2872127896369017,0.12881145461305943,0.17204957545230437,0.0,90.81479002323431,7.159300806347522,-8.074926541731315,0.0,-0.5,254.00000000000006,0.054,0.169,255.00000000000006,-0.054,0.169
4.4,0.10000000000000053,0.3472823655427298,0.12641142357380328,0.1746120612063199,0.0,92.0472504513823,7.159303781043864,-8.266429517811645,0.0,-0.5,254.00000000000006,0.054,0.169,255.00000000000006,-0.054,0.169
4.5,0.09999999999999964,0.4073519411572421,0.12386191661166819,0.1770257647907994,0.0,93.27969215316625,7.159304234356806,-8.457929971579869,0.0,-0.5,255.00000000000006,0.054,0.169,254.00000000000006,-0.054,0.169
4.6,0.09999999999999964,0.46742151665337967,0.1211721103677092,0.17928204759544947,0.0,94.51213100038194,7.1593043034513295,-8.649430040752314,0.0,-0.5,254.00000000000006,0.054,0.169,254.00000000000006,-0.054,0.169
4.7,0.10000000000000053,0.5274910921288808,0.11835170400946517,0.18137278080392205,0.0,95.74456941247036,7.159304313983306,-8.84093005129642,0.0,-0.5,254.00000000000006,0.054,0.169,255.00000000000006,-0.054,0.169
4.8,0.09999999999999964,0.5875606676011452,0.11541087084694344,0.18329042409774032,0.0,96.97700775823205,7.159304315588699,-9.03243005290361,0.0,-0.5,254.00000000000006,0.054,0.169,254.00000000000006,-0.054,0.169
4.9,0.10000000000000053,0.6476302430729134,0.1123602191429976,0.1850280602467575,0.0,98.20944609388334,7.15930431583341,-9.223930053148539,0.0,-0.5,254.00000000000006,0.054,0.169,254.00000000000006,-0.054,0.169
5.0,0.09999999999999964,0.7076998185446047,0.10921075339965287,0.18657942116315196,0.0,99.44188442799305,7.159304315870709,-9.415430053185823,0.0,-0.5,254.00000000000006,0.054,0.169,254.00000000000006,-0.054,0.169
5.1,0.09999999999999964,0.7677693940162842,0.10597383458383791,0.18793891067564322,0.0,100.6743227618681,7.159304315876394,-9.606930053191448,0.0,-0.5,254.00000000000006,0.054,0.169,254.00000000000006,-0.054,0.169
5.2,0.10000000000000053,0.8278389694879642,0.10266113913194555,0.1891016247405562,0.0,101.90676109570722,7.15930431587726,-9.798430053192257,0.0,-0.5,21.000000000000004,0.054,0.169,254.00000000000006,-0.054,0.169
